ImageLocation,Color,Shade,Room,,
Images/ADTester.jpg,White,Light,Living,,
Images/KitchenBrick.jpg,White,Light,Kitchen,,
Images/	LeatherCouch.jpg,Neutral,Light,Living,,
Images/Screen Shot 2020-08-28 at 9.53.32 AM.png,Orange,Light,Outdoors,,
Images/IMG_8083.jpg,Neutral,Light,Living,,
Images/IMG_8082.jpg,White,Light,Kitchen,,
Images/IMG_8081.jpg,Gray,Light,Dinning,,
Images/IMG_8080.jpg,White,Light,Outdoors,,
Images/IMG_8079.jpg,Blue,Light,Living,,
Images/IMG_8078.jpg,Neutral,Light,Outdoors,,
Images/IMG_8077.jpg,Neutral,Light,Outdoors,,
Images/IMG_8076.jpg,White,Light,Kitchen,,
Images/IMG_8075.jpg,Neutral,Light,Outdoors,,
Images/IMG_8074.jpg,Neutral,Light,Bathroom,,
Images/IMG_8073.jpg,Neutral,Light,Foyer,,
Images/IMG_8072.jpg,Neutral,Light,Outdoors,,
Images/IMG_8071.jpg,Neutral,Light,Dinning,,
Images/IMG_8070.jpg,Neutral,Light,Living,,
Images/IMG_8069.jpg,Neutral,Light,Dinning,,
Images/IMG_8068.jpg,Gray,Light,Bathroom,,
Images/IMG_8067.jpg,Neutral,Light,Dinning,,
Images/IMG_8066.jpg,Gray,Dark,Dinning,,
Images/IMG_8065.jpg,White,Light,Bedroom,,
Images/IMG_8064.jpg,Neutral,Light,Bathroom,,
Images/IMG_8063.jpg,Neutral,Light,Kitchen,,
Images/IMG_8062.jpg,Multi,Dark,Living,,
Images/IMG_8061.jpg,Multi,Light,Kitchen,,
Images/IMG_8060.jpg,Brown,Dark,Bedroom,,
Images/IMG_8059.jpg,Neutral,Light,Living,,
Images/IMG_8058.jpg,White,Light,Kitchen,,
Images/IMG_8057.jpg,White,Light,Kitchen,,
Images/IMG_8056.jpg,White,Light,Kitchen,,
Images/IMG_8055.jpg,White,Light,Dinning,,
Images/IMG_8054.jpg,Neutral,Light,Foyer,,
Images/IMG_8053.jpg,White,Light,Living,,
Images/IMG_8052.jpg,White,Light,Living,,
Images/IMG_8051.jpg,Multi,Light,Living,,
Images/IMG_8050.jpg,Neutral,Dark,Living,,
Images/IMG_8049.jpg,Neutral,Light,Kitchen,,
Images/IMG_8048.jpg,Neutral,Dark,Living,,
Images/IMG_8047.jpg,Gold,Light,Bathroom,,
Images/IMG_8046.jpg,Gray,Light,Bedroom,,
Images/IMG_8045.jpg,Black,Dark,Bathroom,,
Images/IMG_8044.jpg,Neutral,Light,Living,,
Images/IMG_8043.jpg,Gray,Light,Kitchen,,
Images/IMG_8042.jpg,Neutral,Light,Living,,
Images/IMG_8041.jpg,Neutral,Light,Kitchen,,
Images/IMG_8040.jpg,Gold,Dark,Bathroom,,
Images/IMG_8039.jpg,Neutral,Light,Stairway,,
Images/IMG_8038.jpg,White,Light,Bathroom,,
Images/IMG_8037.jpg,Neutral,Light,Dinning,,
Images/IMG_8036.jpg,Multi,Light,Dinning,,
Images/IMG_8035.jpg,Neutral,Dark,Living,,
Images/IMG_8034.jpg,Neutral,Dark,Bathroom,,
Images/IMG_8033.jpg,White,Light,Bathroom,,
Images/IMG_8032.jpg,Neutral,Light,Dinning,,
Images/IMG_8031.jpg,Black,Dark,Bedroom,,
Images/IMG_8030.jpg,Neutral,Dark,Living,,
Images/IMG_8029.jpg,Neutral,Light,Bedroom,,
Images/IMG_7930.PNG,Neutral,Dark,Dinning,,
Images/IMG_7931.PNG,Multi,Dark,Kitchen,,
Images/IMG_7932.PNG,Blue,Dark,Bathroom,,
Images/IMG_7933.PNG,Multi,Dark,Bathroom,,
Images/IMG_7935.PNG,Neutral,Light,Dinning,,
Images/IMG_7934.PNG,Neutral,Light,Living,,
